Ref;Val;Package;PosX;PosY;Rot;Side
J9;Display – secondary;Hirose_FH12-16S-1_SH;40.4250;-11.8250;180.0000;bottom
C1;100n;C_0603;27.0095;48.1460;180.0000;top
C2;22p;C_0603;46.5315;46.5620;270.0000;top
C3;22p;C_0603;38.9115;46.5860;90.0000;top
C4;10u;C_0603;30.6805;59.9450;270.0000;top
C5;100n;C_0603;28.9025;59.9450;270.0000;top
C6;100n;C_0603;32.4712;63.3232;90.0000;top
C7;1u;C_0603;32.4585;59.9690;90.0000;top
C8;100n;C_0603;37.4235;69.7360;0.0000;top
C9;100n;C_0603;40.7255;50.8130;180.0000;top
C10;100n;C_0603;48.2185;68.5930;180.0000;top
C11;100n;C_0603;52.5245;55.6510;90.0000;top
C12;100n;C_0603;37.3995;67.9580;0.0000;top
C13;33p;C_0603;103.3880;43.7130;90.0000;top
C14;33p;C_0603;112.1510;43.7010;270.0000;top
C15;100n;C_0603;108.3290;60.7190;0.0000;top
C16;100n;C_0603;98.6770;46.7490;180.0000;top
C17;100n;C_0603;98.6770;44.8440;180.0000;top
C18;100n;C_0603;98.6770;43.0660;180.0000;top
C19;10u±;CP_Tantalum_Case-A_EIA-3216-18_Reflow;98.7110;40.6530;180.0000;top
C20;10n;C_0603;101.2410;61.7350;180.0000;top
C21;10n;C_0603;101.2410;60.2110;180.0000;top
C22;100n;C_0603;94.2560;64.4020;180.0000;top
C23;100n;C_0603;94.2560;62.6240;180.0000;top
C24;100n;C_0603;94.2560;60.7190;180.0000;top
C25;100n;C_0603;94.2560;58.9410;180.0000;top
C26;10u±;CP_Tantalum_Case-A_EIA-3216-18_Reflow;94.2660;56.6550;180.0000;top
C27;470n;C_0603;107.4520;64.4020;270.0000;top
C28;470n;C_0603;109.3570;64.3900;270.0000;top
C29;1u;C_0603;100.3400;66.9540;90.0000;top
C30;1u;C_0603;102.2450;66.9540;90.0000;top
C31;100n;C_0603;113.6870;61.6080;180.0000;top
C32;100n;C_0603;113.6630;63.5130;180.0000;top
C33;100n;C_0603;113.6630;65.2910;180.0000;top
C34;10u±;CP_Tantalum_Case-A_EIA-3216-18_Reflow;113.6970;67.5770;180.0000;top
C35;1u;C_0603;116.0245;82.4480;90.0000;top
C36;1u;C_0603;118.0565;82.4480;270.0000;top
C37;1u;C_0603;123.4533;78.7530;0.0000;top
C38;100n;C_0603;118.0565;87.6310;270.0000;top
C39;100n;C_0603;128.2165;87.6550;270.0000;top
C40;4,7u;C_0603;21.6635;96.7870;180.0000;top
C41;100n;C_0603;8.8612;69.8884;0.0000;top
C42;10u;C_0603;8.8104;78.9308;0.0000;top
C43;100n;C_0603;20.0880;69.8884;0.0000;top
C44;4,7u;C_0603;35.5336;87.9612;90.0000;top
C45;10u;C_0603;20.0880;78.9308;0.0000;top
C46;100n;C_0603;31.4672;69.8884;0.0000;top
C47;10u;C_0603;35.5336;84.8102;270.0000;top
C48;10u;C_0603;31.4672;78.9308;0.0000;top
C49;10u±;CP_Tantalum_Case-A_EIA-3216-18_Reflow;51.3750;32.1250;90.0000;top
C50;100n;C_0603;54.0750;32.1250;90.0000;top
C51;100n;C_0603;68.7170;19.9520;0.0000;top
C52;100n;C_0603;75.2575;58.9410;0.0000;top
C53;100n;C_0603;62.8750;55.8930;90.0000;top
D1;D;D_1206;31.4665;45.8600;180.0000;top
D2;LED;LED_0603;22.9055;107.8360;90.0000;top
D3;D_Schottky;D_SOD-123;16.7630;89.8020;180.0000;top
D4;pwr led;LED_0603;34.3000;-10.8000;0.0000;top
